ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000007, 4950, 0
sorted, 1000, 0.000520, 499500, 0
sorted, 10000, 0.047411, 49995000, 0
sorted, 100000, 4.793737, 4999950000, 0
reverse_sorted, 100, 0.000009, 4950, 50
reverse_sorted, 1000, 0.000649, 499500, 500
reverse_sorted, 10000, 0.057279, 49995000, 5000
reverse_sorted, 100000, 5.499567, 4999950000, 50000
random, 100, 0.000012, 4950, 95
random, 1000, 0.000598, 499500, 996
random, 10000, 0.047519, 49995000, 9991
random, 100000, 4.761653, 4999950000, 99987
